key	en	fr	es	it	pt	nl	bg	cs	de	hr	pl	ru	ja	ko
privacy_policy_link	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php	https://oneway.st/privacy.php
														
APP_TITLE	Solitaire Word Puzzle	Solitaire de mots	Solitario de palabras	Solitario di parole	Paciência de palavras	Woord Solitaire	Пасианс с думи	Slovní solitér	Wort-Solitaire	Solitaire riječi	Pasjans słowny	Словесный пасьянс	ワードソリティア	워드 솔리테어
APP_TITLE_SPLASH	Solitaire Word Puzzle	Solitaire de mots	Solitario de palabras	Solitario di parole	Paciência de palavras	Woord Solitaire	Пасианс с думи	Slovní solitér	Wort-Solitaire	Solitaire riječi	Pasjans słowny	Словесный пасьянс	ワードソリティア	워드 솔리테어
														
# Date														
{0}d	{0}d	{0}j	{0}d	{0}g	{0}d	{0}d	{0}д	{0}d	{0}T	{0}d	{0}d	{0}д	{0}日	{0}일
{0}h	{0}h	{0}h	{0}h	{0}o	{0}h	{0}u	{0}ч	{0}h	{0}Std	{0}h	{0}g	{0}ч	{0}時間	{0}시간
{0}m	{0}m	{0}m	{0}m	{0}m	{0}m	{0}m	{0}м	{0}m	{0}Min	{0}m	{0}m	{0}м	{0}分	{0}분
														
# Tutorial														
